RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,BCNSHP,CATLAM,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,ELEVAT,HEIGHT,MARSYS,NATCON,NOBJNM,OBJNAM,PEREND,PERSTA,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2,1,2,7,1,550,175369067,1080,02260A73EB6B0438,(1:02260A73EE930438),(1:2),1,1,,,,,,,,,,,,,Phillips Petroleum Dock Lights (2),,,8,,,,,,,,,90000,,,,19940412,"US,US,reprt,8thCGD,LNM 15/94"
4,1,2,7,1,550,175369095,1080,02260A73EB870438,"(2:02260A73EDB40438,02260A73EEBC0438)","(2:2,2)",1,2,,,,,,,,,,,,,Mobil Basin Entrance Light 2,,,8,,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
7,1,2,7,1,550,175369131,1080,02260A73EBAB0438,"(2:02260A73ED9B0438,02260A73EEAE0438)","(2:2,2)",1,1,,,,,,,,,,,,,Mobil Basin Entrance Light 1,,,8,,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
10,1,2,7,1,550,175369143,1080,02260A73EBB70438,"(3:02260A73EDCD0438,02260A73EED70438,02260A73F29F0438)","(3:2,2,2)",3,2,,,,,,,,,,,,,Brazos River Crossing Light 2,,,1,,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
14,1,2,7,1,550,175369169,1080,02260A73EBD10438,"(3:02260A73EDC10438,02260A73EECA0438,02260A73F2AA0438)","(3:2,2,2)",3,2,,,,,,,,,,,,,Brazos River Crossing Light 4,,,1,,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
18,1,2,7,1,550,175369181,1080,02260A73EBDD0438,"(2:02260A73EDD90438,02260A73EF200438)","(2:2,2)",4,1,,,,,,,,,,,,,7,,,1,,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
21,1,2,7,1,550,175369208,1080,02260A73EBF80438,"(2:02260A73EDE40438,02260A73EF2E0438)","(2:2,2)",4,2,,,,,,,,,,,,,8,,,1,,,,,,,,,120000,,,,19930803,"US,US,reprt,8thCGD,LNM 31/93"
24,1,2,7,1,550,175369221,1080,02260A73EC050438,"(2:02260A73EDF10438,02260A73EF3C0438)","(2:2,2)",5,2,,,,,,,,,,,,,Freeport Entrance Light 10,,,1,,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
27,1,2,7,1,550,175369233,1080,02260A73EC110438,"(2:02260A73EDFD0438,02260A73EF570438)","(2:2,2)",4,2,,,,,,,,,,,,,Freeport Harbor Light 20,,,1,,,,,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
30,1,2,7,1,550,175369246,1080,02260A73EC1E0438,"(2:02260A73EE0A0438,02260A73EF760438)","(2:2,2)",5,1,,,,,,,,,,,,,Freeport Harbor Light 21,,,1,,,,,,,,,120000,,,,19981013,"US,US,reprt,8thCGD,LNM 41/98"
33,1,2,7,1,550,175369258,1080,02260A73EC2A0438,"(2:02260A73EE160438,02260A73EF840438)","(2:2,2)",4,2,,,,,,,,,,,,,Freeport Harbor Light 22,,,1,,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
36,1,2,7,1,550,175369283,1080,02260A73EC430438,(1:02260A73EF4A0438),(1:2),,2,,,,,,,,,,,,,Dow Chemical A-2 Dock Lights (2),,,8,,,,,,,,,120000,,,,19680901,"US,U1,reprt,NM 40/68"
38,1,2,7,1,550,175369296,1080,02260A73EC500438,(1:02260A73EFAE0438),(1:2),5,1,,,,,,,,,,,,,Phillips Petroleum Dock Light,,,8,,,,southeast,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
40,1,2,7,1,550,175369309,1080,02260A73EC5D0438,(1:02260A73EFA10438),(1:2),5,1,,,,,,,,,,,,,Phillips Petroleum Dock Light,,,8,,,,northwest,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
42,1,2,7,1,550,175369321,1080,02260A73EC690438,(1:02260A73EFCA0438),(1:2),1,2,,,,,,,,,,,,,Dow Chemical B-6 Dock Light,,,8,,,,,,,,,90000,,,,19680901,"US,U1,reprt,NM 40/68"
44,1,2,7,1,550,175369334,1080,02260A73EC760438,"(2:02260A73EE220438,02260A73EFD70438)","(2:2,2)",5,1,,,,,,,,,,,,,Freeport Entrance Light 11,,,1,,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
47,1,2,7,1,550,175369347,1080,02260A73EC830438,"(3:02260A73EE460438,02260A73F0110438,02260A73F2B60438)","(3:2,2,2)",5,2,,,,,,,,,,,,,Freeport Entrance Light 12,,,1,,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNN 42/97"
51,1,2,7,1,550,175369359,1080,02260A73EC8F0438,(1:02260A73F09E0438),(1:2),5,1,,,,,,,,,,,,,Western Towing Barge Light,,,8,,,,On a barge.,,,,,120000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
