RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,BUISHP,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,ELEVAT,FUNCTN,HEIGHT,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
175,3,2,12,1,550,175374473,1080,02260A7400890438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
176,3,2,12,1,550,175374486,1080,02260A7400960438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
177,3,2,12,1,550,175374499,1080,02260A7400A30438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
178,3,2,12,1,550,175374512,1080,02260A7400B00438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
179,3,2,12,1,550,175374194,1080,02260A73FF720438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
180,3,2,12,1,550,175374047,1080,02260A73FEDF0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
181,3,2,12,1,550,175374088,1080,02260A73FF080438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
182,3,2,12,1,550,175374101,1080,02260A73FF150438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
183,3,2,12,1,550,175374114,1080,02260A73FF220438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
184,3,2,12,1,550,175374139,1080,02260A73FF3B0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
185,3,2,12,1,550,175374432,1080,02260A7400600438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
186,3,2,12,1,550,175374461,1080,02260A74007D0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
187,3,2,12,1,550,175373918,1080,02260A73FE5E0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
188,3,2,12,1,550,175373931,1080,02260A73FE6B0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
189,3,2,12,1,550,175373942,1080,02260A73FE760438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
190,3,2,12,1,550,175373956,1080,02260A73FE840438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
191,3,2,12,1,550,175374126,1080,02260A73FF2E0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
192,3,2,12,1,550,175374207,1080,02260A73FF7F0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
193,3,2,12,1,550,175374219,1080,02260A73FF8B0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
194,3,2,12,1,550,175374524,1080,02260A7400BC0438,,,,,,,,,,,,,,,,,,,,,,,,120000,,,,19990529,"US,US,graph,chart 11322"
