RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCAN,CONDTN,DATEND,DATSTA,HORACC,HORCLR,HORWID,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
195,3,2,23,1,550,175371211,1080,02260A73F3CB0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
196,3,2,23,1,550,175371930,1080,02260A73F69A0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
197,3,2,23,1,550,175371941,1080,02260A73F6A50438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
198,3,2,23,1,550,175371966,1080,02260A73F6BE0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
199,2,2,23,1,550,175508537,1080,02260A760C390438,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
200,2,2,23,1,550,175508553,1080,02260A760C490438,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
201,3,2,23,1,550,175371648,1080,02260A73F5800438,,,,,,,,,,,Dow Barge Canal,8,This canal is private and is not open to the public.  The gate at the entrance near Brazos River Lighthouse can be lowered to a depth of 9 feet for a width of 50 feet.,,,,260000,,,,19990529,"US,US,graph,chart 11322"
202,3,2,23,1,550,175371664,1080,02260A73F5900438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
203,3,2,23,1,550,175371679,1080,02260A73F59F0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
204,3,2,23,1,550,175371693,1080,02260A73F5AD0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
205,3,2,23,1,550,175371706,1080,02260A73F5BA0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
206,3,2,23,1,550,175371718,1080,02260A73F5C60438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
207,3,2,23,1,550,175371810,1080,02260A73F6220438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
208,3,2,23,1,550,175371821,1080,02260A73F62D0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
209,3,2,23,1,550,175371833,1080,02260A73F6390438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
210,3,2,23,1,550,175371845,1080,02260A73F6450438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
211,3,2,23,1,550,175371856,1080,02260A73F6500438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
212,3,2,23,1,550,175371868,1080,02260A73F65C0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
213,3,2,23,1,550,175371879,1080,02260A73F6670438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
214,3,2,23,1,550,175371953,1080,02260A73F6B10438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
215,3,2,23,1,550,175373572,1080,02260A73FD040438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
216,3,2,23,1,550,175371151,1080,02260A73F38F0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
217,3,2,23,1,550,175371619,1080,02260A73F5630438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
218,3,2,23,1,550,175371743,1080,02260A73F5DF0438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
219,3,2,23,1,550,175371769,1080,02260A73F5F90438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
220,3,2,23,1,550,175371799,1080,02260A73F6170438,,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
