RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DATEND,DATSTA,PEREND,PERSTA,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
456,1,2,27,1,550,175511505,1080,02260A7617D10438,,,,,,,Snags,,,,350000,,,,19990529,"US,US,graph,chart 11322"
457,3,2,27,1,550,175372271,1080,02260A73F7EF0438,,,,,,,This area is subject to continual hydrographic and topographic changes.,,,,500000,,,,19990529,"US,US,graph,chart 11322"
458,1,2,27,1,550,175453894,1080,02260A7536C60438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
459,1,2,27,1,550,175453909,1080,02260A7536D50438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
460,1,2,27,1,550,175454103,1080,02260A7537970438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
461,1,2,27,1,550,175454118,1080,02260A7537A60438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
462,1,2,27,1,550,175454213,1080,02260A7538050438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
463,1,2,27,1,550,175457076,1080,02260A7543340438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
464,1,2,27,1,550,175457091,1080,02260A7543430438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
465,1,2,27,1,550,175457864,1080,02260A7546480438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
466,1,2,27,1,550,175489727,1080,02260A75C2BF0438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
467,1,2,27,1,550,175453924,1080,02260A7536E40438,,,,,,,Hydrography to southwestward from survey of 1937.,,,,350000,,,,19990529,"US,US,graph,chart 11322"
468,1,2,27,1,550,175461662,1080,02260A75551E0438,,,,,,,Piling,,,,350000,,,,19990529,"US,US,graph,chart 11322"
469,3,2,27,1,550,114453767,1268,022606D26D0704F4,,,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,500000,,,,20010200,"US,US,reprt,L-570/01"
470,3,2,27,1,550,114538288,1268,022606D3B73004F4,,,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,500000,,,,20010200,"US,US,reprt,L-570/01"
471,3,2,27,1,550,114645271,1268,022606D5591704F4,,,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,500000,,,,20010200,"US,US,reprt,L-570/01"
472,3,2,27,1,550,115224943,1268,022606DE316F04F4,,,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,500000,,,,20010200,"US,US,reprt,L-570/01"
473,3,2,27,1,550,115227427,1268,022606DE3B2304F4,,,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,500000,,,,20010200,"US,US,reprt,L-570/01"
