RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSPM,COLOUR,COLPAT,DATEND,DATSTA,ELEVAT,HEIGHT,NATCON,NOBJNM,OBJNAM,PEREND,PERSTA,STATUS,TOPSHP,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
5,1,2,39,1,550,175369652,1080,02260A73EDB40438,,,,"3,3",6,,,,,"9,6",,,,,8,24,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
8,1,2,39,1,550,175369627,1080,02260A73ED9B0438,,,,"4,4",6,,,,,"9,6",,,,,8,19,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
11,1,2,39,1,550,175369677,1080,02260A73EDCD0438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
15,1,2,39,1,550,175369665,1080,02260A73EDC10438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
19,1,2,39,1,550,175369689,1080,02260A73EDD90438,,,,"4,4",6,,,,,"9,6",,,,,1,19,,,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
22,1,2,39,1,550,175369700,1080,02260A73EDE40438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19930803,"US,US,reprt,8thCGD,LNM 31/93"
25,1,2,39,1,550,175369713,1080,02260A73EDF10438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
28,1,2,39,1,550,175369725,1080,02260A73EDFD0438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
31,1,2,39,1,550,175369738,1080,02260A73EE0A0438,,,,"4,4",6,,,,,"9,6",,,,,1,19,,,,,,,,120000,,,,19981013,"US,US,reprt,8thCGD,LNM 41/98"
34,1,2,39,1,550,175369750,1080,02260A73EE160438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
45,1,2,39,1,550,175369762,1080,02260A73EE220438,,,,"4,4",6,,,,,"9,6",,,,,1,19,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
48,1,2,39,1,550,175369798,1080,02260A73EE460438,,,,"3,3",6,,,,,"9,6",,,,,1,24,,,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
59,1,2,39,1,550,175369774,1080,02260A73EE2E0438,,,16,"3,1",2,,,,,"9,6",,,,,1,21,,,,,,,,120000,,,,19930413,"US,US,reprt,8thCGD,LNM 15/93"
63,1,2,39,1,550,175369786,1080,02260A73EE3A0438,,,16,"3,1",2,,,,,"9,6",,,,,1,21,,,,,,,,120000,,,,20001003,"US,US,reprt,8thCGD,LNM 40/00"
77,1,2,39,1,550,175369811,1080,02260A73EE530438,,,16,"3,1",2,,,,,"9,6",,,,,1,21,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
80,1,2,39,1,550,175369824,1080,02260A73EE600438,,,16,"3,1",2,,,,,"9,6",,,,,1,21,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
