RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATLMK,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,ELEVAT,FUNCTN,HEIGHT,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1892,1,2,74,1,550,175451192,1080,02260A752C380438,,,17,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1893,1,2,74,1,550,175457286,1080,02260A7544060438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1894,1,2,74,1,550,175451108,1080,02260A752BE40438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1895,1,2,74,1,550,175457185,1080,02260A7543A10438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1896,1,2,74,1,550,175457220,1080,02260A7543C40438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1897,1,2,74,1,550,175457236,1080,02260A7543D40438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1898,1,2,74,1,550,175454007,1080,02260A7537370438,,,18,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1899,1,2,74,1,550,175450879,1080,02260A752AFF0438,,,17,,,,,1,,31,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1900,1,2,74,1,550,175450942,1080,02260A752B3E0438,,,5,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1901,1,2,74,1,550,175453536,1080,02260A7535600438,,,20,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1902,1,2,74,1,550,175453571,1080,02260A7535830438,,,17,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1903,1,2,74,1,550,175451091,1080,02260A752BD30438,,,17,,,,,1,,31,64,,,,,,,,(KBRZ) 1460 kHz,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1904,1,2,74,1,550,175453438,1080,02260A7534FE0438,,,17,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1905,1,2,74,1,550,175453471,1080,02260A75351F0438,,,17,,,,,1,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1906,1,2,74,1,550,175458287,1080,02260A7547EF0438,,,17,,,,,1,,34,124.35,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1907,1,2,74,1,550,175458497,1080,02260A7548C10438,,,17,,,,,1,,34,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
1908,1,2,74,1,550,175458595,1080,02260A7549230438,,,17,,,,,1,,31,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
