RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2305,3,2,114,1,550,175488527,1080,02260A75BE0F0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2306,2,2,114,1,550,175434547,1080,02260A74EB330438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2307,3,2,114,1,550,175487817,1080,02260A75BB490438,,,,McNeal Bayou,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2308,3,2,114,1,550,175487836,1080,02260A75BB5C0438,,,,Redfish Bayou,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2309,3,2,114,1,550,175488369,1080,02260A75BD710438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2310,3,2,114,1,550,175488387,1080,02260A75BD830438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2311,3,2,114,1,550,175488421,1080,02260A75BDA50438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2312,3,2,114,1,550,175489020,1080,02260A75BFFC0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2313,3,2,114,1,550,175489040,1080,02260A75C0100438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2314,3,2,114,1,550,233418976,1133,02260DE9B0E0046D,,,,Jones Creek,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2315,2,2,114,1,550,175422043,1080,02260A74BA5B0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2316,2,2,114,1,550,175423276,1080,02260A74BF2C0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2317,2,2,114,1,550,175423305,1080,02260A74BF490438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2318,2,2,114,1,550,175433868,1080,02260A74E88C0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2319,3,2,114,1,550,175487764,1080,02260A75BB140438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2320,3,2,114,1,550,175487784,1080,02260A75BB280438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2321,3,2,114,1,550,175487857,1080,02260A75BB710438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2322,3,2,114,1,550,175487877,1080,02260A75BB850438,,,,Jones Creek,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2323,3,2,114,1,550,175487900,1080,02260A75BB9C0438,,,,Bryan Cut,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2324,3,2,114,1,550,175488301,1080,02260A75BD2D0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2325,3,2,114,1,550,175488318,1080,02260A75BD3E0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2326,3,2,114,1,550,175488335,1080,02260A75BD4F0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2327,3,2,114,1,550,175488352,1080,02260A75BD600438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2328,2,2,114,1,550,175435806,1080,02260A74F01E0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2329,2,2,114,1,550,175436244,1080,02260A74F1D40438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2330,2,2,114,1,550,175436259,1080,02260A74F1E30438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2331,2,2,114,1,550,175436275,1080,02260A74F1F30438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2332,2,2,114,1,550,175436664,1080,02260A74F3780438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2333,2,2,114,1,550,175436680,1080,02260A74F3880438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2334,2,2,114,1,550,175436711,1080,02260A74F3A70438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2335,2,2,114,1,550,175437342,1080,02260A74F61E0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2336,2,2,114,1,550,175437358,1080,02260A74F62E0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2337,2,2,114,1,550,175437374,1080,02260A74F63E0438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2338,2,2,114,1,550,175438473,1080,02260A74FA890438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2339,2,2,114,1,550,175438488,1080,02260A74FA980438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2340,2,2,114,1,550,175449257,1080,02260A7524A90438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2341,2,2,114,1,550,175449924,1080,02260A7527440438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2342,3,2,114,1,550,175487685,1080,02260A75BAC50438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2343,3,2,114,1,550,175487702,1080,02260A75BAD60438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2344,3,2,114,1,550,175487721,1080,02260A75BAE90438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2345,3,2,114,1,550,175487743,1080,02260A75BAFF0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2346,3,2,114,1,550,175488548,1080,02260A75BE240438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2347,3,2,114,1,550,175489185,1080,02260A75C0A10438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2348,3,2,114,1,550,175489206,1080,02260A75C0B60438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2349,3,2,114,1,550,175489287,1080,02260A75C1070438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2350,2,2,114,1,550,175448944,1080,02260A7523700438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2351,2,2,114,1,550,175449864,1080,02260A7527080438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2352,2,2,114,1,550,175449879,1080,02260A7527170438,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
2353,3,2,114,1,550,175489226,1080,02260A75C0CA0438,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2354,3,2,114,1,550,175508704,1080,02260A760CE00438,,,,Nicks Cut,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
2355,3,2,114,1,550,234471474,1133,02260DF9C032046D,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
